adult,budget,TMDb_id,popularity,release_year,status,title,vote_average,Netflix_id,on_Netflix
True,30000000.0,862,21.946943,1995,Released,Toy Story,7.7,,False
True,65000000.0,8844,17.015539,1995,Released,Jumanji,6.9,,False
True,0.0,15602,11.7129,1995,Released,Grumpier Old Men,6.5,,False
True,16000000.0,31357,3.859495,1995,Released,Waiting to Exhale,6.1,,False
True,0.0,11862,8.387519,1995,Released,Father of the Bride Part II,5.7,,False
True,60000000.0,949,17.924927,1995,Released,Heat,7.7,,False
True,58000000.0,11860,6.677277,1995,Released,Sabrina,6.2,s4375,True
True,0.0,45325,2.561161,1995,Released,Tom and Huck,5.4,,False
True,35000000.0,9091,5.23158,1995,Released,Sudden Death,5.5,,False
True,58000000.0,710,14.686036,1995,Released,GoldenEye,6.6,s6867,True
True,62000000.0,9087,6.318445,1995,Released,The American President,6.5,s8188,True
True,0.0,12110,5.430331,1995,Released,Dracula: Dead and Loving It,5.7,,False
True,0.0,21032,12.140733,1995,Released,Balto,7.1,s6221,True
True,44000000.0,10858,5.092,1995,Released,Nixon,7.1,,False
True,98000000.0,1408,7.284477,1995,Released,Cutthroat Island,5.7,,False
True,52000000.0,524,10.137389,1995,Released,Casino,7.8,,False
True,16500000.0,4584,10.673167,1995,Released,Sense and Sensibility,7.2,,False
True,4000000.0,5,9.026586,1995,Released,Four Rooms,6.5,,False
True,30000000.0,9273,8.205448,1995,Released,Ace Ventura: When Nature Calls,6.1,,False
True,60000000.0,11517,7.337906,1995,Released,Money Train,5.4,,False
True,0.0,1710,10.701801,1995,Released,Copycat,6.5,,False
True,50000000.0,9691,11.065939,1995,Released,Assassins,6.0,,False
True,3600000.0,451,10.332025,1995,Released,Leaving Las Vegas,7.1,,False
True,0.0,16420,1.845899,1995,Released,Othello,7.0,,False
True,12000000.0,9263,8.681325,1995,Released,Now and Then,6.6,s7621,True
True,0.0,17015,2.228434,1995,Released,Persuasion,7.4,,False
True,18000000.0,902,9.822423,1995,Released,The City of Lost Children,7.6,,False
True,0.0,37557,1.100915,1995,Released,Shanghai Triad,6.5,,False
True,0.0,9909,9.481338,1995,Released,Dangerous Minds,6.4,,False
True,29500000.0,63,12.297305,1995,Released,Twelve Monkeys,7.4,,False
True,0.0,78802,0.745542,1996,Released,Wings of Courage,6.8,,False
True,30000000.0,9598,14.404764,1995,Released,Babe,6.0,,False
True,0.0,47018,1.493361,1995,Released,Carrington,6.4,,False
True,11000000.0,687,6.891317,1995,Released,Dead Man Walking,7.3,,False
True,0.0,139405,0.114469,1995,Released,Across the Sea of Time,3.5,,False
True,0.0,33689,7.777735,1995,Released,It Takes Two,6.1,s7104,True
True,12000000.0,9603,9.882383,1995,Released,Clueless,6.9,,False
True,0.0,34615,0.894647,1995,Released,"Cry, the Beloved Country",6.7,,False
True,0.0,31174,4.561387,1995,Released,Richard III,6.9,,False
True,10000000.0,11443,9.87957,1995,Released,Dead Presidents,6.6,,False
True,19000000.0,35196,10.979269,1995,Released,Restoration,6.3,,False
True,18000000.0,9312,10.870138,1995,Released,Mortal Kombat,5.4,s582,True
True,20000000.0,577,10.448481,1995,Released,To Die For,6.7,,False
True,10000000.0,11861,4.485958,1995,Released,How To Make An American Quilt,6.5,,False
True,33000000.0,807,18.45743,1995,Released,Se7en,8.1,,False
True,55000000.0,10530,13.280069,1995,Released,Pocahontas,6.7,,False
True,0.0,8391,3.302524,1995,Released,When Night Is Falling,5.9,,False
True,6000000.0,629,16.302466,1995,Released,The Usual Suspects,8.1,,False
True,0.0,117164,0.595949,1994,Released,Guardian Angel,6.3,,False
True,15000000.0,11448,15.899134,1995,Released,Mighty Aphrodite,6.7,,False
True,0.0,49133,1.361286,1994,Released,Lamerica,7.7,,False
True,0.0,26441,5.982764,1995,Released,The Big Green,5.2,,False
True,0.0,97406,4.093443,1995,Released,Georgia,6.1,,False
True,0.0,124057,0.307075,1997,Released,Kids of the Round Table,3.0,,False
True,0.0,9089,8.416802,1995,Released,Home for the Holidays,6.3,,False
True,0.0,11010,10.168437,1994,Released,The Postman,7.6,,False
True,0.0,99040,0.120789,1995,Released,The Confessional,6.5,,False
True,45000000.0,11359,10.673296,1995,Released,The Indian in the Cupboard,5.9,s8362,True
True,20000000.0,17182,4.733526,1996,Released,Eye for an Eye,5.8,,False
True,0.0,2054,7.137117,1995,Released,Mr. Holland's Opus,6.9,,False
True,0.0,10607,11.700115,1996,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,,False
True,0.0,19760,2.174487,1996,Released,Two If by Sea,4.5,,False
True,15000000.0,9536,6.387469,1996,Released,Bio-Dome,4.4,,False
True,0.0,11525,2.49535,1996,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,,False
True,0.0,40628,4.046208,1995,Released,Two Bits,5.4,,False
True,0.0,4482,2.518051,1995,Released,French Twist,6.0,,False
True,3500000.0,10634,14.56965,1995,Released,Friday,7.0,,False
True,50000000.0,11859,5.912223,1995,Released,Fair Game,4.1,,False
True,0.0,28387,3.367276,1995,Released,Kicking and Screaming,7.0,s7194,True
True,0.0,48750,1.479446,1995,Released,Les Miserables,6.6,,False
True,0.0,20927,10.412194,1996,Released,Bed of Roses,5.1,,False
True,15000000.0,36929,2.936443,1996,Released,Big Bully,3.9,,False
True,20000000.0,9102,12.758848,1995,Released,Screamers,6.1,,False
True,0.0,124626,0.133893,1995,Released,Nico Icon,7.3,,False
True,0.0,27526,5.756462,1995,Released,The Crossing Guard,6.1,,False
True,44000000.0,9623,6.010579,1996,Released,The Juror,5.5,,False
True,0.0,46785,1.196256,1995,Released,The White Balloon,7.5,,False
True,8000000.0,400,4.486179,1995,Released,Things to Do in Denver When You're Dead,6.7,,False
True,900000.0,880,2.030174,1995,Released,Antonia's Line,7.2,,False
True,0.0,146599,0.252287,1996,Released,Once Upon a Time... When We Were Colored,4.5,,False
True,0.0,188588,0.531159,1995,Released,Last Summer in the Hamptons,0.0,,False
True,0.0,8447,2.15166,1995,Released,Angels and Insects,6.3,,False
True,38000000.0,10534,9.568604,1996,Released,White Squall,6.3,,False
True,16000000.0,17414,4.814825,1996,Released,Dunston Checks In,5.1,,False
True,0.0,13997,8.963037,1996,Released,Black Sheep,6.0,,False
True,8169363.0,2086,6.848591,1995,Released,Nick of Time,6.1,,False
True,0.0,61548,0.411424,1995,Released,The Journey of August King,6.7,,False
True,47000000.0,9095,12.866139,1996,Released,Mary Reilly,5.7,,False
True,14000000.0,12158,9.071127,1995,Released,Vampire in Brooklyn,4.5,,False
True,0.0,9283,4.670562,1996,Released,Beautiful Girls,6.6,,False
True,50000000.0,9208,14.957626,1996,Released,Broken Arrow,5.7,,False
True,0.0,40154,0.513391,1995,Released,A Midwinter's Tale,7.5,,False
True,3000000.0,406,12.108196,1995,Released,La Haine,7.9,,False
True,0.0,45549,2.657647,1994,Released,Shopping,5.6,,False
True,0.0,63076,0.638211,1995,Released,Heidi Fleiss: Hollywood Madam,6.8,,False
True,0.0,11062,4.807223,1996,Released,City Hall,6.0,,False
True,7000000.0,13685,6.904831,1996,Released,Bottle Rocket,6.8,,False
True,0.0,47475,3.329264,1996,Released,Mr. Wrong,3.3,,False
True,18000000.0,2045,2.464425,1996,Released,Unforgettable,5.3,,False
True,12000000.0,9614,9.592265,1996,Released,Happy Gilmore,6.5,,False
True,24000000.0,688,5.951077,1995,Released,The Bridges of Madison County,7.3,,False
True,0.0,11907,1.015068,1994,Released,Nobody Loves Me,5.1,,False
True,0.0,10874,6.902423,1996,Released,Muppet Treasure Island,6.5,,False
True,0.0,89333,0.976707,1995,Released,Catwalk,7.0,,False
True,0.0,96357,0.001346,1995,Released,Headless Body in Topless Bar,0.0,,False
True,72000000.0,197,20.755149,1995,Released,Braveheart,7.7,,False
True,1300000.0,103,14.092713,1976,Released,Taxi Driver,8.1,s2882,True
True,7500000.0,33542,12.314278,1995,Released,Rumble in the Bronx,6.5,s7901,True
True,35000000.0,43566,2.938293,1996,Released,Before and After,5.8,,False
True,0.0,71754,0.372697,1995,Released,Margaret's Museum,7.5,,False
True,13365000.0,43612,1.254885,1995,Released,Happiness Is in the Field,7.0,,False
